"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide"
"734","anin1240","Anindilyakwa","Australia",-13.99904,136.6415,"anin1240","aoi","AU","gunw1250","",FALSE,FALSE
"735","kuku1281","Kuku-Ugbanh","Australia",-13.9882,141.569,"kuku1281","ugb","AU","pama1250","",FALSE,FALSE
"736","wikm1247","Wik-Mungkan","Australia",-13.98051,141.81611,"wikm1247","wim","AU","pama1250","",FALSE,FALSE
"737","ngal1292","Ngalkbun","Australia",-13.9783,133.936,"ngal1292","ngk","AU","gunw1250","",FALSE,FALSE
"738","madn1237","Madngele","Australia",-13.9479,130.6,"madn1237","zml","AU","east2374","",FALSE,FALSE
"739","umbi1243","Umbindhamu","Australia",-13.921,143.328,"umbi1243","umd","AU","pama1250","",FALSE,FALSE
"740","samo1305","Samoan","Papunesia",-13.92,-171.83,"samo1305","smo","AS;WS","aust1307","",FALSE,FALSE
"741","vure1239","Vurës","Papunesia",-13.905677,167.451412,"vure1239","msn","VU","aust1307","",FALSE,FALSE
"742","vera1241","Vera'a","Papunesia",-13.892528,167.428701,"vera1241","vra","VU","aust1307","",FALSE,FALSE
"743","ngen1257","Ngendelengo","Africa",-13.88747,13.12802,"ngen1257","nql","AO","atla1278","",FALSE,FALSE
"744","mari1424","Marithiel","Australia",-13.8818,130.237,"mari1424","mfr","AU","west2434","",FALSE,FALSE
"745","mari1421","Maridjabin","Australia",-13.8754,129.844,"mari1421","zmj","AU","west2434","",FALSE,FALSE
